ido,esperanto,similarity,rank,source
(0.9,eblaj,0.9814,2501,bert-alignment
(0.9,foje,0.9814,2501,bert-alignment
(1.0,iloj,0.98,1691,bert-alignment
(1.0,km-ojn,0.979,1691,bert-alignment
(1.0,plibonigi,0.9784,1691,bert-alignment
(1.1,eblaj,0.9778,2851,bert-alignment
(1.1,iloj,0.9777,2851,bert-alignment
(1.1,lingvaj,0.9776,2851,bert-alignment
(1.2,iloj,0.9762,3454,bert-alignment
(1.2,eblaj,0.9752,3454,bert-alignment
(1.2,spite,0.9746,3454,bert-alignment
(1.3,eblaj,0.9774,3852,bert-alignment
(1.3,iloj,0.977,3852,bert-alignment
(1.3,spite,0.9762,3852,bert-alignment
(1.4,iloj,0.9802,3670,bert-alignment
(1.4,eblaj,0.9798,3670,bert-alignment
(1.4,spite,0.979,3670,bert-alignment
(1.5,iloj,0.9799,3914,bert-alignment
(1.5,eblaj,0.9799,3914,bert-alignment
(1.5,spite,0.9783,3914,bert-alignment
(1.8,eblaj,0.9797,4760,bert-alignment
(1.8,iloj,0.9792,4760,bert-alignment
(1.8,lingvaj,0.9778,4760,bert-alignment
(1976),prezentado,0.9574,4554,bert-alignment
(1976),grafikisto,0.9573,4554,bert-alignment
(1976),konvertado,0.9572,4554,bert-alignment
(1981),konferenco,0.9715,4980,bert-alignment
(1981),korporacio,0.9711,4980,bert-alignment
(1981),arkitekto,0.9704,4980,bert-alignment
(1983),originale,0.957,4757,bert-alignment
(1983),american,0.956,4757,bert-alignment
(1983),rakontas,0.9559,4757,bert-alignment
(angle:,ekskluzive,0.981,3194,bert-alignment
(angle:,km-ojn,0.9807,3194,bert-alignment
(angle:,signifaj,0.9805,3194,bert-alignment
(anke,ngc-katalogo,0.9758,3684,bert-alignment
(anke,menciita,0.9753,3684,bert-alignment
(anke,priskribo,0.975,3684,bert-alignment
"(augustów),",esperanto-asocio,0.9766,1938,bert-alignment
"(augustów),",ngc-katalogo,0.9764,1938,bert-alignment
"(augustów),",korporacio,0.9761,1938,bert-alignment
(biała,danĝera,0.9841,815,bert-alignment
(biała,bruno,0.9839,815,bert-alignment
(biała,distrikta,0.9837,815,bert-alignment
"(białystok),",korporacio,0.9745,194,bert-alignment
"(białystok),",distriktaro,0.9725,194,bert-alignment
"(białystok),",teritoria,0.9723,194,bert-alignment
(bielsk,flankaj,0.9872,1586,bert-alignment
(bielsk,malvenko,0.9869,1586,bert-alignment
(bielsk,rusiaj,0.9867,1586,bert-alignment
"(biłgoraj),",rio-de-ĵanejro,0.98,1980,bert-alignment
"(biłgoraj),",nordrejn-vestfalio,0.9797,1980,bert-alignment
"(biłgoraj),",aŭvernjo-rodano-alpoj,0.9789,1980,bert-alignment
(c,jc,0.9886,4731,bert-alignment
(c,ngc,0.9877,4731,bert-alignment
(c,scott,0.986,4731,bert-alignment
(cent,rilatojn,0.9827,4447,bert-alignment
(cent,km-ojn,0.9823,4447,bert-alignment
(cent,deputitoj,0.9821,4447,bert-alignment
(che,rilatojn,0.9858,982,bert-alignment
(che,deputitoj,0.9857,982,bert-alignment
(che,scott,0.9854,982,bert-alignment
"(chełm),",ĉambroj,0.9755,923,bert-alignment
"(chełm),",nordrejn-vestfalio,0.9737,923,bert-alignment
"(chełm),",kovács,0.9737,923,bert-alignment
(de,roy,0.984,833,bert-alignment
(de,ede,0.9838,833,bert-alignment
(de,detruita,0.9837,833,bert-alignment
(dextra,dna,0.9864,2552,bert-alignment
(dextra,dekstre,0.9855,2552,bert-alignment
(dextra,detruita,0.9855,2552,bert-alignment
(di,deputitoj,0.9832,4273,bert-alignment
(di,edziniĝis,0.9828,4273,bert-alignment
(di,arondismentoj,0.9827,4273,bert-alignment
(duacent,burgonjo-franĉkonteo,0.973,4448,bert-alignment
(duacent,tridekjara,0.9719,4448,bert-alignment
(duacent,ŝatata,0.9697,4448,bert-alignment
(e,ene,0.987,3021,bert-alignment
(e,signife,0.9858,3021,bert-alignment
(e,ekskluzive,0.9852,3021,bert-alignment
(en,orgenisto,0.9818,480,bert-alignment
(en,eniris,0.9814,480,bert-alignment
(en,anoncita,0.9812,480,bert-alignment
(exemple,eblaj,0.9799,3901,bert-alignment
(exemple,iloj,0.9793,3901,bert-alignment
(exemple,eventuale,0.9792,3901,bert-alignment
(gm),ngc-katalogo,0.9828,4761,bert-alignment
(gm),arkitekto,0.9805,4761,bert-alignment
(gm),korporacio,0.9804,4761,bert-alignment
"(grajewo),",rio-de-ĵanejro,0.9837,2437,bert-alignment
"(grajewo),",aŭvernjo-rodano-alpoj,0.9832,2437,bert-alignment
"(grajewo),",ngc-katalogo,0.983,2437,bert-alignment
"(hajnówka),",nordrejn-vestfalio,0.9723,1619,bert-alignment
"(hajnówka),",korporacio,0.9714,1619,bert-alignment
"(hajnówka),",rio-de-ĵanejro,0.9714,1619,bert-alignment
"(hrubieszów),",minas-ĝerajso,0.969,2116,bert-alignment
"(hrubieszów),",aŭvernjo-rodano-alpoj,0.9687,2116,bert-alignment
"(hrubieszów),",nordrejn-vestfalio,0.968,2116,bert-alignment
(ido),priskribo,0.9809,2072,bert-alignment
(ido),ngc-katalogo,0.9805,2072,bert-alignment
(ido),analizo,0.9797,2072,bert-alignment
(ifa:,plibonigi,0.9812,104,bert-alignment
(ifa:,ekskluzive,0.9803,104,bert-alignment
(ifa:,ngc-katalogo,0.9802,104,bert-alignment
(janów,aŭvernjo-rodano-alpoj,0.983,3030,bert-alignment
(janów,gajni,0.9822,3030,bert-alignment
(janów,flankaj,0.9821,3030,bert-alignment
(khl,flankaj,0.9875,4971,bert-alignment
(khl,gdr,0.9874,4971,bert-alignment
(khl,ekz,0.987,4971,bert-alignment
(kinacent,burgonjo-franĉkonteo,0.9748,4451,bert-alignment
(kinacent,tridekjara,0.9747,4451,bert-alignment
(kinacent,flankaj,0.9746,4451,bert-alignment
"(kolno),",ngc-katalogo,0.9848,2323,bert-alignment
"(kolno),",danĝero,0.9839,2323,bert-alignment
"(kolno),",kolekto,0.9836,2323,bert-alignment
(kolonio),kolonio,0.9889,2589,bert-alignment
(kolonio),konferenco,0.9867,2589,bert-alignment
(kolonio),episkopo,0.9865,2589,bert-alignment
(kom,ferenc,0.9819,4224,bert-alignment
(kom,km-ojn,0.9812,4224,bert-alignment
(kom,flankaj,0.9809,4224,bert-alignment
"(krasnystaw),",aŭvernjo-rodano-alpoj,0.9769,2385,bert-alignment
"(krasnystaw),",rio-de-ĵanejro,0.9769,2385,bert-alignment
"(krasnystaw),",nordrejn-vestfalio,0.9766,2385,bert-alignment
"(kraśnik),",korporacio,0.9702,2117,bert-alignment
"(kraśnik),",nordrejn-vestfalio,0.969,2117,bert-alignment
"(kraśnik),",distriktaro,0.9687,2117,bert-alignment
(kun,flankaj,0.9855,1621,bert-alignment
(kun,rilatojn,0.9849,1621,bert-alignment
(kun,s-ino,0.9848,1621,bert-alignment
(la,signifa,0.9871,629,bert-alignment
(la,amila,0.987,629,bert-alignment
(la,krei,0.9867,629,bert-alignment
"(lubartów),",nordrejn-vestfalio,0.9752,1614,bert-alignment
"(lubartów),",korporacio,0.9742,1614,bert-alignment
"(lubartów),",ngc-katalogo,0.9742,1614,bert-alignment
"(lublin),",korporacio,0.9812,173,bert-alignment
"(lublin),",ngc-katalogo,0.9805,173,bert-alignment
"(lublin),",nordrejn-vestfalio,0.9799,173,bert-alignment
(m,n-ro,0.9789,58,bert-alignment
(m,vivis,0.9784,58,bert-alignment
(m,martin,0.9782,58,bert-alignment
(mil,km-ojn,0.9842,466,bert-alignment
(mil,moviĝas,0.9839,466,bert-alignment
(mil,vojaĝis,0.9839,466,bert-alignment
"(mońki),",ngc-katalogo,0.9841,2606,bert-alignment
"(mońki),",korporacio,0.9828,2606,bert-alignment
"(mońki),",ĉambroj,0.9826,2606,bert-alignment
(n,naskiĝis,0.9637,39,bert-alignment
(n,n-ro,0.9589,39,bert-alignment
(n,naskis,0.9582,39,bert-alignment
(naskinta,naskiĝis,0.9833,3110,bert-alignment
(naskinta,naskita,0.9824,3110,bert-alignment
(naskinta,naskiĝinta,0.9777,3110,bert-alignment
(naskodio,konferenco,0.9809,3187,bert-alignment
(naskodio,ngc-katalogo,0.9807,3187,bert-alignment
(naskodio,festo,0.9804,3187,bert-alignment
(nonacent,prononcata,0.9772,4455,bert-alignment
(nonacent,dekomence,0.9756,4455,bert-alignment
(nonacent,anoncita,0.9754,4455,bert-alignment
(nun,ferenc,0.9772,3636,bert-alignment
(nun,n-ro,0.9763,3636,bert-alignment
(nun,iloj,0.9762,3636,bert-alignment
(o,eksplodo,0.9864,1143,bert-alignment
(o,iniciato,0.9862,1143,bert-alignment
(o,ino,0.986,1143,bert-alignment
(okacent,burgonjo-franĉkonteo,0.9773,4454,bert-alignment
(okacent,franĉkonteo,0.9767,4454,bert-alignment
(okacent,menciindas,0.9765,4454,bert-alignment
(olim,plibonigi,0.9837,977,bert-alignment
(olim,diplomato,0.9836,977,bert-alignment
(olim,krei,0.9833,977,bert-alignment
(opole,ekloĝis,0.9828,2182,bert-alignment
(opole,scott,0.9828,2182,bert-alignment
(opole,centro-valo,0.9826,2182,bert-alignment
"(parczew),",kovács,0.9784,3372,bert-alignment
"(parczew),",ngc-katalogo,0.9776,3372,bert-alignment
"(parczew),",rio-de-ĵanejro,0.9771,3372,bert-alignment
(por,iloj,0.9819,4950,bert-alignment
(por,moviĝas,0.981,4950,bert-alignment
(por,pio,0.9809,4950,bert-alignment
(posible),supozeble,0.9826,4870,bert-alignment
(posible),escepto,0.9804,4870,bert-alignment
(posible),danĝero,0.9797,4870,bert-alignment
(pron.:,lingva,0.9786,2011,bert-alignment
(pron.:,ngc-katalogo,0.977,2011,bert-alignment
(pron.:,lernanto,0.9768,2011,bert-alignment
"(puławy),",korporacio,0.9704,2466,bert-alignment
"(puławy),",ngc-katalogo,0.969,2466,bert-alignment
"(puławy),",kovács,0.9688,2466,bert-alignment
(qua,iloj,0.9843,2725,bert-alignment
(qua,rilatojn,0.9842,2725,bert-alignment
(qua,signifa,0.9837,2725,bert-alignment
(quaracent,priskribo,0.9683,4450,bert-alignment
(quaracent,rio-de-ĵanejro,0.9683,4450,bert-alignment
(quaracent,burgonjo-franĉkonteo,0.968,4450,bert-alignment
(radzyń,ĝardenoj,0.9766,3169,bert-alignment
(radzyń,stanisław,0.9762,3169,bert-alignment
(radzyń,ĉambroj,0.976,3169,bert-alignment
(ruse,esperante,0.9879,2847,bert-alignment
(ruse,germane,0.9875,2847,bert-alignment
(ruse,ekskluzive,0.9866,2847,bert-alignment
"(ryki),",ngc-katalogo,0.9856,3495,bert-alignment
"(ryki),",timo,0.9856,3495,bert-alignment
"(ryki),",vojaĝis,0.9853,3495,bert-alignment
"(rzeszów),",ngc-katalogo,0.9763,2948,bert-alignment
"(rzeszów),",korporacio,0.976,2948,bert-alignment
"(rzeszów),",esperanto-asocio,0.9752,2948,bert-alignment
(segun,ideon,0.9761,3092,bert-alignment
(segun,premion,0.9746,3092,bert-alignment
(segun,politikon,0.9745,3092,bert-alignment
"(sejny),",rio-de-ĵanejro,0.9811,2553,bert-alignment
"(sejny),",los-anĝeleso,0.9801,2553,bert-alignment
"(sejny),",aŭvernjo-rodano-alpoj,0.9796,2553,bert-alignment
(sepacent,dekomence,0.9636,4453,bert-alignment
(sepacent,burgonjo-franĉkonteo,0.9621,4453,bert-alignment
(sepacent,pasinteco,0.962,4453,bert-alignment
"(siemiatycze),",kovács,0.9754,1602,bert-alignment
"(siemiatycze),",rio-de-ĵanejro,0.9749,1602,bert-alignment
"(siemiatycze),",aŭvernjo-rodano-alpoj,0.9736,1602,bert-alignment
(sinistra,distrikta,0.9853,4115,bert-alignment
(sinistra,gajni,0.9852,4115,bert-alignment
(sinistra,detruita,0.9852,4115,bert-alignment
(sisacent,s-ino,0.9658,4452,bert-alignment
(sisacent,burgonjo-franĉkonteo,0.964,4452,bert-alignment
(sisacent,rio-de-ĵanejro,0.9639,4452,bert-alignment
"(sokółka),",ngc-katalogo,0.9813,855,bert-alignment
"(sokółka),",kovács,0.9797,855,bert-alignment
"(sokółka),",burgonjo-franĉkonteo,0.9793,855,bert-alignment
(somero),februaro,0.9778,2863,bert-alignment
(somero),januaro,0.977,2863,bert-alignment
(somero),konferenco,0.9761,2863,bert-alignment
"(suwałki),",ngc-katalogo,0.9828,1308,bert-alignment
"(suwałki),",provenco-alpoj-bordo,0.9822,1308,bert-alignment
"(suwałki),",aŭvernjo-rodano-alpoj,0.9819,1308,bert-alignment
(the,martin,0.9825,2482,bert-alignment
(the,roy,0.9818,2482,bert-alignment
(the,the,0.9818,2482,bert-alignment
(til,detruita,0.9835,3941,bert-alignment
(til,deputitoj,0.9824,3941,bert-alignment
(til,detruis,0.9823,3941,bert-alignment
(tomaszów,stanisław,0.9771,1151,bert-alignment
(tomaszów,aŭvernjo-rodano-alpoj,0.9768,1151,bert-alignment
(tomaszów,burgonjo-franĉkonteo,0.9766,1151,bert-alignment
(triacent,rio-de-ĵanejro,0.9785,4449,bert-alignment
(triacent,tridekjara,0.9783,4449,bert-alignment
(triacent,ĉapitro,0.9782,4449,bert-alignment
(ustrzyki,ŝlesvigo-holstinio,0.9843,4522,bert-alignment
(ustrzyki,flankaj,0.9832,4522,bert-alignment
(ustrzyki,s-ino,0.9829,4522,bert-alignment
(videz,rigardata,0.9839,4699,bert-alignment
(videz,priskribas,0.9839,4699,bert-alignment
(videz,vivis,0.9831,4699,bert-alignment
(vintro),vintro,0.9838,2754,bert-alignment
(vintro),vintre,0.9787,2754,bert-alignment
(vintro),konferenco,0.9778,2754,bert-alignment
(wysokie,burgonjo-franĉkonteo,0.9853,1066,bert-alignment
(wysokie,flankaj,0.9852,1066,bert-alignment
(wysokie,saksio-anhalto,0.9846,1066,bert-alignment
"(włodawa),",rio-de-ĵanejro,0.9706,2711,bert-alignment
"(włodawa),",kovács,0.9691,2711,bert-alignment
"(włodawa),",ĉambroj,0.9687,2711,bert-alignment
"(zambrów),",korporacio,0.9772,2766,bert-alignment
"(zambrów),",rio-de-ĵanejro,0.9768,2766,bert-alignment
"(zambrów),",nordrejn-vestfalio,0.9767,2766,bert-alignment
"(zamość),",korporacio,0.9757,1033,bert-alignment
"(zamość),",ngc-katalogo,0.9745,1033,bert-alignment
"(zamość),",esperanto-asocio,0.9744,1033,bert-alignment
"(łomża),",ĉambroj,0.9736,1219,bert-alignment
"(łomża),",rio-de-ĵanejro,0.9726,1219,bert-alignment
"(łomża),",ĉambro,0.9706,1219,bert-alignment
"(łuków),",kovács,0.9781,1648,bert-alignment
"(łuków),",ngc-katalogo,0.9767,1648,bert-alignment
"(łuków),",korporacio,0.9765,1648,bert-alignment
"(łęczna),",ngc-katalogo,0.9717,3588,bert-alignment
"(łęczna),",korporacio,0.9715,3588,bert-alignment
"(łęczna),",konferenco,0.9708,3588,bert-alignment
"(świdnik),",rio-de-ĵanejro,0.9808,4763,bert-alignment
"(świdnik),",ngc-katalogo,0.9792,4763,bert-alignment
"(świdnik),",aŭvernjo-rodano-alpoj,0.9783,4763,bert-alignment
),kie,0.9711,4175,bert-alignment
),leiden,0.9692,4175,bert-alignment
),sir,0.9692,4175,bert-alignment
*,igas,0.9717,7,bert-alignment
*,scott,0.9716,7,bert-alignment
*,konstruo,0.9707,7,bert-alignment
**,perdita,0.9728,830,bert-alignment
**,français,0.9725,830,bert-alignment
**,leiden,0.972,830,bert-alignment
***,provo,0.9771,3516,bert-alignment
***,ina,0.9769,3516,bert-alignment
***,sir,0.9769,3516,bert-alignment
+,plus,0.9825,1295,bert-alignment
+,plu,0.9775,1295,bert-alignment
+,über,0.9754,1295,bert-alignment
",",konstruo,0.9836,481,bert-alignment
",",ferenc,0.9831,481,bert-alignment
",",eventuale,0.9828,481,bert-alignment
-,timo,0.979,9,bert-alignment
-,ne,0.9785,9,bert-alignment
-,igis,0.9776,9,bert-alignment
--,metas,0.9704,2052,bert-alignment
--,krom,0.9704,2052,bert-alignment
--,celo,0.9704,2052,bert-alignment
----,ina,0.9769,553,bert-alignment
----,tia,0.9747,553,bert-alignment
----,preparado,0.9747,553,bert-alignment
-1,statistika,0.9654,3132,bert-alignment
-1,radikoj,0.9652,3132,bert-alignment
-1,filinon,0.9648,3132,bert-alignment
.,konstruo,0.9817,3385,bert-alignment
.,eventuale,0.9808,3385,bert-alignment
.,ferenc,0.9807,3385,bert-alignment
..,konstruo,0.9752,3906,bert-alignment
..,iloj,0.9742,3906,bert-alignment
..,ferenc,0.974,3906,bert-alignment
.]],ferenc,0.9806,426,bert-alignment
.]],igas,0.9798,426,bert-alignment
.]],konstruo,0.9793,426,bert-alignment
/,hall,0.9758,585,bert-alignment
/,unika,0.9735,585,bert-alignment
/,es,0.9733,585,bert-alignment
/noinclude,__toc__,0.9764,2083,bert-alignment
/noinclude,deputitoj,0.9764,2083,bert-alignment
/noinclude,lokanoj,0.9758,2083,bert-alignment
/ref,__toc__,0.9771,4035,bert-alignment
/ref,koordinatoj,0.976,4035,bert-alignment
/ref,signifaj,0.9758,4035,bert-alignment
0,numeroj,0.9721,2660,bert-alignment
0,rezultoj,0.9717,2660,bert-alignment
0,nombroj,0.971,2660,bert-alignment
0.0%,rezervejo,0.9719,381,bert-alignment
0.0%,transigo,0.9712,381,bert-alignment
0.0%,francilio,0.9711,381,bert-alignment
0.00%,rezervejo,0.9711,66,bert-alignment
0.00%,gastejo,0.9699,66,bert-alignment
0.00%,japanio,0.9699,66,bert-alignment
0.01%,rezervejo,0.9737,2655,bert-alignment
0.01%,ukrainio,0.9717,2655,bert-alignment
0.01%,rusio,0.9715,2655,bert-alignment
0.02%,rezervejo,0.9746,1592,bert-alignment
0.02%,kvalito,0.9733,1592,bert-alignment
0.02%,flankaj,0.9732,1592,bert-alignment
0.03%,rezervejo,0.9736,1443,bert-alignment
0.03%,ukrainio,0.9732,1443,bert-alignment
0.03%,ekologia,0.9729,1443,bert-alignment
0.04%,rusio,0.9745,1327,bert-alignment
0.04%,rezervejo,0.9744,1327,bert-alignment
0.04%,japanio,0.974,1327,bert-alignment
0.05%,grafikisto,0.9704,1482,bert-alignment
0.05%,rezervejo,0.9704,1482,bert-alignment
0.05%,politikisto,0.9696,1482,bert-alignment
0.06%,rezervejo,0.9748,1384,bert-alignment
0.06%,gastigas,0.9738,1384,bert-alignment
0.06%,gastejo,0.9735,1384,bert-alignment
0.07%,rezervejo,0.9747,1611,bert-alignment
0.07%,gastigas,0.9736,1611,bert-alignment
0.07%,japanio,0.973,1611,bert-alignment
0.08%,rezervejo,0.9722,1450,bert-alignment
0.08%,ukrainio,0.9711,1450,bert-alignment
0.08%,demografia,0.9711,1450,bert-alignment
0.09%,rezervejo,0.9724,1542,bert-alignment
0.09%,japanio,0.9715,1542,bert-alignment
0.09%,rusio,0.9714,1542,bert-alignment
0.1,statistika,0.967,560,bert-alignment
0.1,publikigitaj,0.9666,560,bert-alignment
0.1,longa,0.9662,560,bert-alignment
0.10%,efika,0.9812,1398,bert-alignment
0.10%,ligita,0.9811,1398,bert-alignment
0.10%,krei,0.9811,1398,bert-alignment
0.11%,rezervejo,0.9767,1503,bert-alignment
0.11%,renovigita,0.9753,1503,bert-alignment
0.11%,ukrainio,0.9748,1503,bert-alignment
0.12%,rezervejo,0.9782,1572,bert-alignment
0.12%,renovigita,0.9773,1572,bert-alignment
0.12%,kvalito,0.9771,1572,bert-alignment
0.13%,religia,0.9772,1599,bert-alignment
0.13%,rezervejo,0.9767,1599,bert-alignment
0.13%,teknologia,0.9766,1599,bert-alignment
0.14%,forigita,0.9783,1675,bert-alignment
0.14%,rezervejo,0.9781,1675,bert-alignment
0.14%,unuigita,0.9777,1675,bert-alignment
0.15%,evoluigis,0.9765,1390,bert-alignment
0.15%,grafikisto,0.9758,1390,bert-alignment
0.15%,rezervejo,0.9756,1390,bert-alignment
0.16%,rezervejo,0.9787,1373,bert-alignment
0.16%,religia,0.9772,1373,bert-alignment
0.16%,rezultigas,0.977,1373,bert-alignment
0.17%,rezervejo,0.9792,1380,bert-alignment
0.17%,kolonia,0.978,1380,bert-alignment
0.17%,renovigita,0.9779,1380,bert-alignment
0.18%,religia,0.9757,1610,bert-alignment
0.18%,rezervejo,0.9753,1610,bert-alignment
0.18%,renovigita,0.975,1610,bert-alignment
0.19%,rezervejo,0.977,1399,bert-alignment
0.19%,forigita,0.9764,1399,bert-alignment
0.19%,ukrainio,0.9762,1399,bert-alignment
0.2,absoluta,0.9755,653,bert-alignment
0.2,statistika,0.9754,653,bert-alignment
0.2,earth,0.9751,653,bert-alignment
0.20%,rilatoj,0.9811,1647,bert-alignment
0.20%,rezultoj,0.9809,1647,bert-alignment
0.20%,krei,0.9807,1647,bert-alignment
0.21%,rezervejo,0.9778,1697,bert-alignment
0.21%,kvalito,0.9763,1697,bert-alignment
0.21%,komunuma,0.9762,1697,bert-alignment
0.22%,flankaj,0.9745,1313,bert-alignment
0.22%,specifa,0.974,1313,bert-alignment
0.22%,komunuma,0.9737,1313,bert-alignment
0.23%,kvalito,0.9765,1634,bert-alignment
0.23%,memorigas,0.9764,1634,bert-alignment
0.23%,komunuma,0.9764,1634,bert-alignment
0.24%,specifa,0.9792,1807,bert-alignment
0.24%,nomigas,0.9786,1807,bert-alignment
0.24%,forigita,0.9786,1807,bert-alignment
0.25%,grafikisto,0.9741,1779,bert-alignment
0.25%,docento,0.9737,1779,bert-alignment
0.25%,evoluigis,0.9737,1779,bert-alignment
0.26%,rezervejo,0.979,1879,bert-alignment
0.26%,memorigas,0.9783,1879,bert-alignment
0.26%,nomigas,0.9782,1879,bert-alignment
0.27%,veturiloj,0.9774,1778,bert-alignment
0.27%,rezervejo,0.9771,1778,bert-alignment
0.27%,specifa,0.977,1778,bert-alignment
0.28%,demografia,0.977,1840,bert-alignment
0.28%,rezervejo,0.9765,1840,bert-alignment
0.28%,ekologia,0.976,1840,bert-alignment
0.29%,specifa,0.9786,1936,bert-alignment
0.29%,flankaj,0.9779,1936,bert-alignment
0.29%,unuigita,0.9778,1936,bert-alignment
0.2em,hektaroj,0.9828,2880,bert-alignment
0.2em,unuoj,0.9827,2880,bert-alignment
0.2em,unuiĝis,0.9823,2880,bert-alignment
0.3,loka,0.9731,698,bert-alignment
0.3,migra,0.973,698,bert-alignment
0.3,urban,0.9729,698,bert-alignment
0.30%,rilatoj,0.9817,1759,bert-alignment
0.30%,rezultoj,0.9815,1759,bert-alignment
0.30%,krei,0.9813,1759,bert-alignment
0.31%,rezervejo,0.9747,1889,bert-alignment
0.31%,studas,0.9732,1889,bert-alignment
0.31%,molekula,0.973,1889,bert-alignment
0.32%,rezervejo,0.9779,1890,bert-alignment
0.32%,kvalito,0.9776,1890,bert-alignment
0.32%,komunuma,0.9776,1890,bert-alignment
0.33%,molekula,0.9725,1785,bert-alignment
0.33%,religia,0.9723,1785,bert-alignment
0.33%,studas,0.9722,1785,bert-alignment
0.34%,rezervejo,0.9772,2001,bert-alignment
0.34%,ukrainio,0.9769,2001,bert-alignment
0.34%,forigita,0.9768,2001,bert-alignment
0.35%,evoluigis,0.9746,2264,bert-alignment
0.35%,rezervejo,0.9734,2264,bert-alignment
0.35%,molekula,0.9731,2264,bert-alignment
0.36%,rezervejo,0.9764,2252,bert-alignment
0.36%,komunuma,0.9758,2252,bert-alignment
0.36%,nomigas,0.9758,2252,bert-alignment
0.37%,rezervejo,0.9782,1961,bert-alignment
0.37%,religia,0.9774,1961,bert-alignment
0.37%,memorigas,0.9772,1961,bert-alignment
0.38%,religia,0.9729,2334,bert-alignment
0.38%,agrikultura,0.9722,2334,bert-alignment
0.38%,pedagogia,0.9721,2334,bert-alignment
0.39%,studas,0.9761,2178,bert-alignment
0.39%,rezervejo,0.976,2178,bert-alignment
0.39%,konstruado,0.9757,2178,bert-alignment
0.4,eŭropa,0.9934,829,bert-alignment
0.4,eblaj,0.9929,829,bert-alignment
0.4,iĝi,0.9928,829,bert-alignment
